# pipeline profile — started 2026-08-27 09:24:23
     hud:warp        1.82 ms  (sub)
     hud:arc         0.06 ms  (sub)
     hud:blend       0.83 ms  (sub)
     hud:yaw         0.29 ms  (sub)
     hud:cross       0.05 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.51 ms  (sub)
     disp:waitkey    4.22 ms  (sub)
[PROF 09:25:34]  58 frames   18.05 ms/frame  ->  55.4 FPS
   capture           3.39 ms   18.8%
   track             5.54 ms   30.7%
   ctrl+mav          0.37 ms    2.0%
   hud               3.88 ms   21.5%
   display           4.87 ms   27.0%
     detect          5.08 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.76 ms  (sub)
     hud:setup       0.09 ms  (sub)
     hud:ladder      0.11 ms  (sub)
     hud:warp        1.69 ms  (sub)
     hud:arc         0.05 ms  (sub)
     hud:blend       0.83 ms  (sub)
     hud:yaw         0.29 ms  (sub)
     hud:cross       0.05 ms  (sub)
     disp:record     0.01 ms  (sub)
     disp:imshow     0.50 ms  (sub)
     disp:waitkey    4.32 ms  (sub)
[PROF 09:25:36]  59 frames   18.00 ms/frame  ->  55.5 FPS
   capture           3.23 ms   17.9%
   track             5.76 ms   32.0%
   ctrl+mav          0.35 ms    2.0%
   hud               3.88 ms   21.5%
   display           4.78 ms   26.6%
     detect          5.30 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.75 ms  (sub)
     hud:setup       0.09 ms  (sub)
     hud:ladder      0.11 ms  (sub)
     hud:warp        1.71 ms  (sub)
     hud:arc         0.05 ms  (sub)
     hud:blend       0.80 ms  (sub)
     hud:yaw         0.30 ms  (sub)
     hud:cross       0.05 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.50 ms  (sub)
     disp:waitkey    4.25 ms  (sub)
[PROF 09:25:38]  57 frames   18.03 ms/frame  ->  55.5 FPS
   capture           3.24 ms   18.0%
   track             5.60 ms   31.1%
   ctrl+mav          0.33 ms    1.8%
   hud               4.00 ms   22.2%
   display           4.86 ms   27.0%
     detect          5.07 ms  (sub)
